Name,Age,Party,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5
大塚紀久雄,78,14,5.0,5.0,5.0,,5.0,,,2.0,5.0,1.0,1.0,,5.0,4.0,,1.0,1.0,2.0,1.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0,,,,4.0,4.0,4.0,5.0,5.0
野末陳平,87,3,2.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0
乃木涼介,54,5,4.0,4.0,5.0,5.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
佐々木さやか,38,2,3.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
相原倫子,58,9,5.0,5.0,5.0,5.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
壹岐愛子,33,11,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,3.0,1.0,2.0,5.0,3.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0
渋谷貢,82,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
森下正勝,75,3,2.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0
圷孝行,69,12,5.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,1.0,5.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
牧山弘恵,54,4,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,5.0
